*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Oct 18, 2016; 16:14:02

*RUN   1        : SIMPLE TEMPLAT EXPERIMEN
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : SANT7001 MZ                                                   
 TREATMENT  1   : SIMPLE TEMPLAT EXPERIMEN

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 1970 327    99    39   10.0      3   0.70    416     17      0    765    433      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.44   0.00   0.00      0      0    168.5   0.00   0.00   0.49   0.69   2.39   4.00   3.54   0.46   0.00   0.00   0.00   0.00   0.00      0      0      0       0      24
 1970 328   100    40   10.0      3   0.77    465     19      0    841    484      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.40   0.00   0.00      0      0    165.8   0.00   0.00   0.50   0.75   2.44   4.00   3.97   0.74   0.00   0.00   0.00   0.00   0.00      0      0      0       0      28
 1970 329   101    41   10.0      3   0.86    527     23      0    911    550      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.34   0.00   0.00      0      0    162.9   0.00   0.00   0.52   0.82   2.49   4.00   4.00   1.11   0.00   0.00   0.00   0.00   0.00      0      0      0       0      32
 1970 330   102    42   10.0      3   0.93    583     29      0    942    612      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.30   0.00   0.00      0      0    160.4   0.00   0.00   0.53   0.85   2.52   4.00   4.00   1.33   0.00   0.00   0.00   0.00   0.00      0      0      0       0      37
 1970 331   103    43   11.0      3   1.04    663     39      0   1022    702      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.06   0.00   0.00      0      0    157.2   0.00   0.00   0.55   0.96   2.62   4.00   4.00   1.95   0.00   0.00   0.00   0.00   0.00      0      0      0       0      42
 1970 332   104    44   11.0      3   1.14    734     50      0   1116    784      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   2.86   0.00   0.00      0      0    154.7   0.00   0.00   0.56   1.12   2.77   4.00   4.00   2.77   0.00   0.00   0.00   0.00   0.00      0      0      0       0      47
 1970 333   105    45   11.0      3   1.23    806     64      0   1188    870      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   2.68   0.00   0.00      0      0    152.2   0.00   0.00   0.57   1.26   2.91   4.00   4.00   3.44   0.00   0.00   0.00   0.00   0.00      0      0      0       0      52
 1970 334   106    46   12.0      3   1.30    863     76      0   1306    939      0    0.0  0.000      0      0  0.000  0.000  0.029  0.000   2.55   0.00   0.00      0      0    150.2   0.00   0.00   0.58   1.53   3.17   4.00   4.00   4.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      58
 1970 335   107    47   12.0      3   1.36    918     89      0   1425   1007      0    0.0  0.000      0      0  0.000  0.000  0.038  0.000   2.44   0.00   0.00      0      0    148.2   0.00   0.00   0.59   1.85   3.48   4.00   4.00   4.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      65
 1970 336   108    48   12.0      3   1.43    976    104      0   1546   1080      0    0.0  0.000      0      0  0.000  0.000  0.046  0.000   2.31   0.00   0.00      0      0    146.1   0.00   0.00   0.60   2.22   3.84   4.00   4.00   4.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      72
 1970 337   109    49   12.0      3   1.50   1045    125      0   1661   1171      0    0.0  0.000      0      0  0.000  0.000  0.054  0.000   2.16   0.00   0.00      0      0    143.7   0.00   0.00   0.61   2.41   3.90   3.91   3.86   4.00   0.10   0.00   0.00   0.00   0.00      0      0      0       0      80
 1970 338   110    50   13.0      3   1.61   1140    158      0   1711   1298      0    0.0  0.000      0      0  0.000  0.000  0.063  0.009   2.01   0.00   0.00      0      0    140.9   0.00   0.00   0.62   2.22   3.79   3.73   3.65   3.85   0.21   0.00   0.00   0.00   0.00      0      0      0       0      88
 1970 339   111    51   13.0      3   1.69   1223    192      0   1791   1415      0    0.0  0.000      0      0  0.000  0.000  0.072  0.019   1.91   0.00   0.00      0      0    138.3   0.00   0.00   0.63   2.06   3.78   3.64   3.52   3.66   0.46   0.00   0.00   0.00   0.00      0      0      0       0      97
 1970 340   112    52   13.0      3   1.76   1298    226      0   1910   1524      0    0.0  0.000      0      0  0.000  0.000  0.086  0.037   1.85   0.00   0.00      0      0    135.8   0.00   0.00   0.64   1.93   3.88   3.62   3.45   3.54   0.84   0.00   0.00   0.00   0.00      0      0      0       0     105
 1970 341   113    53   14.0      3   1.85   1394    276      0   2010   1670      0    0.0  0.000      0      0  0.000  0.000  0.095  0.054   1.77   0.00   0.00      0      0    133.0   0.00   0.00   0.66   2.07   3.92   3.58   3.38   3.44   1.17   0.00   0.00   0.00   0.00      0      0      0       0     115
 1970 342   114    54   14.0      3   1.96   1509    345      0   2065   1855      0    0.0  0.000      0      0  0.000  0.000  0.097  0.053   1.67   0.00   0.00      0      0    130.1   0.00   0.00   0.67   2.12   3.89   3.52   3.30   3.34   1.36   0.00   0.00   0.00   0.00      0      0      0       0     125
 1970 343   115    55   14.0      3   2.06   1615    419      0   2135   2034      0    0.0  0.000      0      0  0.000  0.000  0.105  0.029   1.59   0.00   0.00      0      0    127.4   0.00   0.00   0.69   2.24   3.97   3.55   3.31   3.33   1.64   0.00   0.00   0.00   0.00      0      0      0       0     135
 1970 344   116    56   15.0      3   2.29   1854    513      0   2143   2367      0    0.0  0.000      0      0  0.000  0.000  0.119  0.000   1.43   0.00   0.00      0      0    123.6   0.00   0.00   0.70   2.27   3.99   3.55   3.31   3.32   1.70   0.00   0.00   0.00   0.00      0      0      0       0     146
 1970 345   117    57   15.0      3   2.38   1967    618      0   2212   2586      0    0.0  0.000      0      0  0.000  0.000  0.133  0.000   1.35   0.00   0.00      0      0    120.8   0.00   0.00   0.71   2.43   4.00   3.64   3.37   3.37   2.01   0.00   0.00   0.00   0.00      0      0      0       0     157
